Price,Bedrooms,Bathrooms,Floor Area,Land Area,Region
9500000.0,4.0,3.0,144.0,136.0,Region IV-A
4400000.0,3.0,2.0,63.2,80.0,Region III
7810000.0,5.0,3.0,100.0,110.0,Region III
3275000.0,2.0,1.0,40.32,78.4,Region XI
1800000.0,2.0,2.0,52.0,40.0,Region III
8428000.0,5.0,3.0,142.0,121.0,Region III
3565000.0,2.0,1.0,46.0,63.0,Region V
28650000.0,3.0,3.0,219.3,90.0,NCR
3500000.0,3.0,2.0,102.39,154.0,Region III
5300000.0,3.0,2.0,70.27,67.0,Region XI
1800000.0,2.0,1.0,46.0,41.0,Region III
7337000.0,4.0,3.0,85.0,99.0,Region III
45001005.0,6.0,5.0,337.0,350.0,NCR
4080345.0,3.0,2.0,52.0,80.0,Region I
10082000.0,5.0,3.0,142.0,176.0,Region III
1800000.0,2.0,1.0,46.0,41.0,Region III
7500000.0,4.0,3.0,119.0,150.0,Region IV-A
2292960.0,3.0,1.0,40.0,40.0,Region IV-A
5251000.0,2.0,2.0,53.0,88.0,Region III
2258057.0,3.0,1.0,45.0,62.0,Region IV-A
11757000.0,5.0,3.0,166.0,176.0,Region III
1400000.0,2.0,1.0,40.0,40.0,Region III
5300000.0,3.0,2.0,70.27,67.0,Region XI
32342000.0,3.0,3.0,247.4,93.0,NCR
26393000.0,3.0,3.0,219.3,91.0,NCR
2389000.0,3.0,1.0,50.0,50.0,Region IV-A
12772000.0,5.0,3.0,166.0,246.0,Region III
9500000.0,4.0,3.0,144.0,136.0,Region IV-A
4400000.0,3.0,2.0,63.2,80.0,Region III
7810000.0,5.0,3.0,100.0,110.0,Region III
3275000.0,2.0,1.0,40.32,78.4,Region XI
1800000.0,2.0,2.0,52.0,40.0,Region III
8428000.0,5.0,3.0,142.0,121.0,Region III
3565000.0,2.0,1.0,46.0,63.0,Region V
28650000.0,3.0,3.0,219.3,90.0,NCR
3500000.0,3.0,2.0,102.39,154.0,Region III
5300000.0,3.0,2.0,70.27,67.0,Region XI
1800000.0,2.0,1.0,46.0,41.0,Region III
7337000.0,4.0,3.0,85.0,99.0,Region III
45001005.0,6.0,5.0,337.0,350.0,NCR
4080345.0,3.0,2.0,52.0,80.0,Region I
3336800.0,4.0,2.0,70.0,60.0,Region IV-A
10082000.0,5.0,3.0,142.0,176.0,Region III
1800000.0,2.0,1.0,46.0,41.0,Region III
7500000.0,4.0,3.0,119.0,150.0,Region IV-A
2292960.0,3.0,1.0,40.0,40.0,Region IV-A
5251000.0,2.0,2.0,53.0,88.0,Region III
11757000.0,5.0,3.0,166.0,176.0,Region III
2258057.0,3.0,1.0,45.0,62.0,Region IV-A
1400000.0,2.0,1.0,40.0,40.0,Region III
5300000.0,3.0,2.0,70.27,67.0,Region XI
26393000.0,3.0,3.0,219.3,91.0,NCR
32342000.0,3.0,3.0,247.4,93.0,NCR
2389000.0,3.0,1.0,50.0,50.0,Region IV-A
5234791.0,3.0,2.0,75.0,112.0,Region IV-A
12069000.0,5.0,3.0,142.0,176.0,Region III
3267000.0,2.0,2.0,76.18,66.0,Region IV-A
2292960.0,3.0,1.0,40.0,40.0,Region IV-A
12902000.0,5.0,3.0,166.0,176.0,Region III
6379520.0,4.0,3.0,100.0,120.0,Region I
1979000.0,2.0,1.0,38.88,41.4,Region III
1675000.0,1.0,1.0,44.0,40.0,Region III
1675000.0,1.0,1.0,44.0,40.0,Region III
2605000.0,2.0,1.0,42.0,54.0,Region III
7021000.0,4.0,2.0,82.0,120.0,Region VII
2747500.0,3.0,2.0,78.54,154.0,Region III
32184000.0,3.0,3.0,247.4,92.0,NCR
7798000.0,4.0,3.0,85.0,110.0,Region III
6756360.0,4.0,3.0,110.0,100.0,Region IV-A
2706500.0,3.0,2.0,62.0,65.0,Region III
2389000.0,3.0,1.0,50.0,50.0,Region IV-A
13500000.0,3.0,2.0,140.0,240.0,NCR
7410000.0,4.0,3.0,100.0,120.0,Region IV-A
5900000.0,3.0,6.0,232.89,200.0,Region III
4113000.0,3.0,2.0,72.0,88.0,Region III
31706000.0,3.0,3.0,247.4,92.0,NCR
1675000.0,1.0,1.0,44.0,40.0,Region III
28804000.0,3.0,3.0,219.3,91.0,NCR
6650000.0,3.0,2.0,84.0,120.0,Region IV-A
1800000.0,2.0,1.0,46.0,41.0,Region III
28678000.0,3.0,3.0,219.3,91.0,NCR
1837500.0,2.0,2.0,52.5,154.0,Region III
27676000.0,3.0,3.0,219.3,91.0,NCR
4000000.0,2.0,1.0,53.0,52.0,Region IV-A
2632250.0,3.0,2.0,60.0,50.0,Region IV-A
