Description,Location,Price,Bedrooms,Bathrooms,Floor Area,Land Area,Region,Urbanicity
"Preselling 2-Storey Townhouses in Village East Executive Subdivision, Cainta","Santo Domingo, Cainta",9500000.0,4.0,3.0,144.0,136.0,Region IV-A,Urban
"Affordable House & Lot with Complete Amenities for Sale in Santa Maria, Bulacan","San Vicente, Santa Maria",4400000.0,3.0,2.0,63.2,80.0,Region III,Urban
5BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Ella 110sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",7810000.0,5.0,3.0,100.0,110.0,Region III,Urban
Futura Homes Zamboanga | Amber 2BR Townhouse End Unit for Sale in Zamboanga City | Futura by Filinvest,"Zambowood Rd. Boalan, Zamboanga",3275000.0,2.0,1.0,40.32,78.4,Region XI,Urban
"2BR 2-Storey Townhouse for Sale at Marytown Place Ph2 in Santa Maria, Bulacan | Inner Unit (IRIS)","Santa Maria-San Jose Rd. Bulac, Santa Maria",1800000.0,2.0,2.0,52.0,40.0,Region III,Urban
"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Freya 121sqm","Aningway Sacatihan, Subic",8428000.0,5.0,3.0,142.0,121.0,Region III,Urban
2-Bedroom House and Lot For Sale in Camella Pili,"Zone 1 Brgy. Cadlan Pili Camarines Sur Cadlan, Pili",3565000.0,2.0,1.0,46.0,63.0,Region V,Rural
"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa",28650000.0,3.0,3.0,219.3,90.0,NCR,Urban
"3-Bedroom House for Sale in Mexico, Pampanga at The Lakeshore | Akan Model","Km.71, North Luzon Expressway Panipuan, Mexico",3500000.0,3.0,2.0,102.39,154.0,Region III,Urban
"3BR 2-Storey Townhouse for Sale in Davao City, Davao del Sur at PHINMA Maayo Tugbok | Bulan Model","Tugbok, Davao",5300000.0,3.0,2.0,70.27,67.0,Region XI,Urban
"2 bedroom Townhouse for Sale in San Rafael, Bulacan at Primeworld Enclave","Caingin, San Rafael",1800000.0,2.0,1.0,46.0,41.0,Region III,Urban
"4BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Dana 99sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",7337000.0,4.0,3.0,85.0,99.0,Region III,Urban
Luxury 2 Storey Residential House  Sun Valley Parañaque City,"Sun Valley, Paranaque",45001005.0,6.0,5.0,337.0,350.0,NCR,Urban
3-Bedroom House and Lot for Sale in Pavia Iloilo at Parc Regency Residences | STEPHANIE Model,"Ungka II, Pavia",4080345.0,3.0,2.0,52.0,80.0,Region I,Rural
"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Freya 176sqm","Aningway Sacatihan, Subic",10082000.0,5.0,3.0,142.0,176.0,Region III,Urban
"2BR 2-Storey Townhouse for Sale in San Rafael, Bulacan at Primeworld Enclave","Caingin, San Rafael",1800000.0,2.0,1.0,46.0,41.0,Region III,Urban
"4BR Single Detached House and Lot for Sale in Lipa, Batangas | The Villages at Lipa - Sierra Village, SD119","Bugtong Na Pulo, Lipa",7500000.0,4.0,3.0,119.0,150.0,Region IV-A,Urban
"3-Bedroom Townhouse for Sale in General Trias, Cavite at Lancaster New City | ALICE Model","Pasong Camachile I, General Trias",2292960.0,3.0,1.0,40.0,40.0,Region IV-A,Urban
For Sale 2BR 2-Storey House and Lot in Tarlac City at Camella Tarlac | Bella 88sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",5251000.0,2.0,2.0,53.0,88.0,Region III,Urban
"3-Bedroom Townhouse for Sale in Tanza, Cavite at Micara Estates | PORTIA Typical End Unit w/ Fence","Antero Soriano Highway Sahud Ulan, Tanza",2258057.0,3.0,1.0,45.0,62.0,Region IV-A,Urban
5BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Greta w/ CB 176sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",11757000.0,5.0,3.0,166.0,176.0,Region III,Urban
"2-Bedroom 2-Storey Townhouse for Sale in Mabalacat, Pampanga at Talanai Homes | MAHOGANY","Sapang Biabas, Mabalacat",1400000.0,2.0,1.0,40.0,40.0,Region III,Urban
"Townhouse with 3 Bedrooms for Sale in Davao City, Davao del Sur at PHINMA Maayo Tugbok | Bulan Model","Tugbok, Davao",5300000.0,3.0,2.0,70.27,67.0,Region XI,Urban
Likha Residences | Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Muntinlupa | Typical Unit,"Cupang, Muntinlupa",32342000.0,3.0,3.0,247.4,93.0,NCR,Urban
"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa",26393000.0,3.0,3.0,219.3,91.0,NCR,Urban
"3-Bedroom Townhouse for Sale in General Trias, Cavite at Lancaster New City | ANICA Model","Pasong Camachile I, General Trias",2389000.0,3.0,1.0,50.0,50.0,Region IV-A,Urban
"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Greta 246sqm","Aningway Sacatihan, Subic",12772000.0,5.0,3.0,166.0,246.0,Region III,Urban
"Preselling 2-Storey Townhouses in Village East Executive Subdivision, Cainta","Santo Domingo, Cainta",9500000.0,4.0,3.0,144.0,136.0,Region IV-A,Urban
"Affordable House & Lot with Complete Amenities for Sale in Santa Maria, Bulacan","San Vicente, Santa Maria",4400000.0,3.0,2.0,63.2,80.0,Region III,Urban
5BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Ella 110sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",7810000.0,5.0,3.0,100.0,110.0,Region III,Urban
Futura Homes Zamboanga | Amber 2BR Townhouse End Unit for Sale in Zamboanga City | Futura by Filinvest,"Zambowood Rd. Boalan, Zamboanga",3275000.0,2.0,1.0,40.32,78.4,Region XI,Urban
"2BR 2-Storey Townhouse for Sale at Marytown Place Ph2 in Santa Maria, Bulacan | Inner Unit (IRIS)","Santa Maria-San Jose Rd. Bulac, Santa Maria",1800000.0,2.0,2.0,52.0,40.0,Region III,Urban
"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Freya 121sqm","Aningway Sacatihan, Subic",8428000.0,5.0,3.0,142.0,121.0,Region III,Urban
2-Bedroom House and Lot For Sale in Camella Pili,"Zone 1 Brgy. Cadlan Pili Camarines Sur Cadlan, Pili",3565000.0,2.0,1.0,46.0,63.0,Region V,Rural
